Timestamp,Select one of the options below:,What is your age? (in years),What is your sex?,How is your eyesight?,Are you right- or left handed?,Do not change (experiment ID)
2/5/2025 10:20:10,I agree to participate in the study,19,male,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,3824c0
2/5/2025 11:40:04,I agree to participate in the study,19,male,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,6ebd75
2/5/2025 12:56:33,I agree to participate in the study,18,male,"""normal"" (I don't need contacts or glasses)",right handed,13d986
2/5/2025 13:47:41,I agree to participate in the study,18,male,"""normal"" (I don't need contacts or glasses)",right handed,54044d
2/6/2025 9:30:46,I agree to participate in the study,19,male,"""normal"" (I don't need contacts or glasses)",right handed,42f286
2/6/2025 10:33:04,I agree to participate in the study,18,male,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,d9ff04
2/6/2025 11:30:12,I agree to participate in the study,18,female,"""normal"" (I don't need contacts or glasses)",left handed,83cb08
2/6/2025 11:35:17,I agree to participate in the study,18,male,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,aa25ec
2/6/2025 13:38:18,I agree to participate in the study,18,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,4.09E+11
2/7/2025 11:18:36,I agree to participate in the study,22,male,"""normal"" (I don't need contacts or glasses)",right handed,9c749d
2/7/2025 11:22:29,I agree to participate in the study,22,male,"""normal"" (I don't need contacts or glasses)",right handed,051bcc
2/7/2025 12:11:58,I agree to participate in the study,19,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,04f558
2/7/2025 14:05:25,I agree to participate in the study,20,female,"""normal"" (I don't need contacts or glasses)",right handed,98e5cb
2/10/2025 11:14:33,I agree to participate in the study,18,male,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,a5310d
2/10/2025 12:22:11,I agree to participate in the study,18,female,"""normal"" (I don't need contacts or glasses)",right handed,43f26a
2/10/2025 13:35:29,I agree to participate in the study,18,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,94709f
2/11/2025 10:27:58,I agree to participate in the study,18,female,"""normal"" (I don't need contacts or glasses)",right handed,c6c949
2/11/2025 12:50:27,I agree to participate in the study,21,female,"""normal"" (I don't need contacts or glasses)",right handed,5f4177
2/11/2025 13:58:19,I agree to participate in the study,18,male,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,a23b35
2/12/2025 10:20:39,I agree to participate in the study,18,male,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,33e532
2/12/2025 11:29:49,I agree to participate in the study,18,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,fb333f
2/12/2025 12:41:11,I agree to participate in the study,19,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,15f2a1
2/12/2025 13:38:58,I agree to participate in the study,18,female,"""normal"" (I don't need contacts or glasses)",right handed,4a6642
2/12/2025 15:02:17,I agree to participate in the study,21,male,"""normal"" (I don't need contacts or glasses)",right handed,4eeaee
2/13/2025 10:08:02,I agree to participate in the study,20,male,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,1ad447
2/13/2025 14:54:37,I agree to participate in the study,19,male,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,31b753
2/14/2025 8:27:17,I agree to participate in the study,20,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,c363b6
2/19/2025 10:06:36,I agree to participate in the study,21,male,"""normal"" (I don't need contacts or glasses)",right handed,a02c67
2/19/2025 11:14:49,I agree to participate in the study,19,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,901482
2/19/2025 12:14:31,I agree to participate in the study,20,male,"""normal"" (I don't need contacts or glasses)",right handed,bde44b
2/20/2025 8:42:06,I agree to participate in the study,18,female,"""normal"" (I don't need contacts or glasses)",right handed,7eec53
2/20/2025 10:03:48,I agree to participate in the study,21,male,"""normal"" (I don't need contacts or glasses)",right handed,81d984
2/20/2025 11:00:58,I agree to participate in the study,49,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,86f3b3
2/28/2025 8:16:41,I agree to participate in the study,18,female,"""normal"" (I don't need contacts or glasses)",right handed,PIDd45fca
2/28/2025 8:57:09,I agree to participate in the study,18,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,PID83926f
3/3/2025 10:09:07,I agree to participate in the study,19,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,PID7cd1bd
3/3/2025 11:20:28,I agree to participate in the study,18,male,"""normal"" (I don't need contacts or glasses)",right handed,PIDb13e41
3/3/2025 12:43:36,I agree to participate in the study,18,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,PIDe7240a
3/3/2025 13:52:13,I agree to participate in the study,21,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,PID0bac45
3/4/2025 12:51:44,I agree to participate in the study,19,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,PID8d426d
3/5/2025 12:46:57,I agree to participate in the study,19,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,PIDf275ca
3/5/2025 13:48:06,I agree to participate in the study,24,male,"""normal"" (I don't need contacts or glasses)",right handed,PIDe066de
3/5/2025 15:01:58,I agree to participate in the study,18,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,PID361402
3/6/2025 9:04:16,I agree to participate in the study,21,female,"""normal"" (I don't need contacts or glasses)",right handed,PIDf59399
3/6/2025 10:07:24,I agree to participate in the study,18,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,PIDee29d6
3/7/2025 7:56:21,I agree to participate in the study,19,female,"""normal"" (I don't need contacts or glasses)",right handed,PID96634a
3/7/2025 8:57:44,I agree to participate in the study,19,female,"""normal"" (I don't need contacts or glasses)",right handed,PID654648
3/10/2025 11:11:38,I agree to participate in the study,19,male,"""normal"" (I don't need contacts or glasses)",right handed,PID2c2f44
3/10/2025 12:19:20,I agree to participate in the study,18,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,PID0f6fbf
3/10/2025 13:36:45,I agree to participate in the study,20,male,"""normal"" (I don't need contacts or glasses)",right handed,PIDe67ea7
3/12/2025 9:13:12,I agree to participate in the study,19,female,"""normal"" (I don't need contacts or glasses)",right handed,PID4fb1e1
3/12/2025 10:05:34,I agree to participate in the study,39,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,PID194dab
3/12/2025 11:11:22,I agree to participate in the study,18,other / prefer not to say,"""normal"" (I don't need contacts or glasses)",right handed,PID3091de